ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,p.adjust_log,cond
GO:2000243,GO:2000243: positive regulation of reproductive process,5/90,110/28564,2.62E-05,0.011281654,0.008832611,Inhbb/Lhfpl2/Plat/Sox9/Inhba,5,1.947627234,3h
0,GO:0089718: amino acid import across plasma membrane,4/90,55/28564,2.78E-05,0.011281654,0.008832611,Slc6a13/Arg2/Slc1a4/Slc7a11,4,1.947627234,3h
0,GO:0048872: homeostasis of number of cells,8/90,391/28564,3.35E-05,0.011281654,0.008832611,Hba-a1/Hbb-b1/Kit/Scnn1b/Sox9/Inhba/Slc7a11/P2ry14,8,1.947627234,3h
0,GO:0001667: ameboidal-type cell migration,8/90,470/28564,0.000120675,0.02447576,0.019162516,Pak3/Egr3/Kit/Plk2/Pdgfb/Timp1/Sox9/Anxa3,8,1.611263823,3h
0,GO:0097305: response to alcohol,6/90,246/28564,0.000130654,0.02447576,0.019162516,Aldh1a1/Slc5a5/Adh1/Scnn1b/Inhbb/Inhba,6,1.611263823,3h
0,GO:0060395: SMAD protein signal transduction,4/90,102/28564,0.000309393,0.037259762,0.029171344,Inhbb/Ror2/Inhba/Bmp8a,4,1.428759929,3h
GO:0007548,GO:0007548: sex differentiation,6/90,322/28564,0.000551158,0.046053005,0.036055734,Kit/Lhfpl2/Ror2/Adamts1/Sox9/Inhba,6,1.336742022,3h
0,GO:0042472: inner ear morphogenesis,4/90,120/28564,0.000572857,0.046053005,0.036055734,Ripor2/Lrig1/Ror2/Sox9,4,1.336742022,3h
0,GO:0090130: tissue migration,6/90,331/28564,0.000636627,0.046053005,0.036055734,Egr3/Kit/Plk2/Pdgfb/Sox9/Anxa3,6,1.336742022,3h
0,GO:0002444: myeloid leukocyte mediated immunity,4/37,121/28564,1.82E-05,0.009740639,0.00751909,Kit/Nlrp6/Abr/Vamp7,4,2.011412555,6h
GO:0050866,GO:0050866: negative regulation of cell activation,4/37,227/28564,0.000208813,0.028481,0.021985334,Ripor2/Arg2/Abr/Ihh,4,1.545444762,6h
0,GO:0032102: negative regulation of response to external stimulus,5/37,429/28564,0.000219012,0.028481,0.021985334,Tspan8/Cldn3/Arg2/Nlrp6/Abr,5,1.545444762,6h
0,GO:0032612: interleukin-1 production,3/37,128/28564,0.000610943,0.041238657,0.031833349,Il1r2/Arg2/Nlrp6,3,1.38469549,6h
0,GO:0090596: sensory organ morphogenesis,4/37,319/28564,0.000753903,0.041908147,0.032350149,Aldh1a1/Ripor2/Abr/Ihh,4,1.377701541,6h
0,GO:0090313: regulation of protein targeting to membrane,2/37,35/28564,0.000945583,0.043178648,0.033330886,Mtcl1/Vamp7,2,1.364730961,6h
0,GO:0045197: establishment or maintenance of epithelial cell apical/basal polarity,2/37,44/28564,0.001492411,0.048716903,0.03760603,Tcf15/Mtcl1,2,1.312320332,6h
0,GO:0003382: epithelial cell morphogenesis,2/37,46/28564,0.00163016,0.048716903,0.03760603,Cldn3/Ihh,2,1.312320332,6h
0,GO:0070661: leukocyte proliferation,4/37,396/28564,0.001673911,0.048716903,0.03760603,Kit/Ripor2/Arg2/Ihh,4,1.312320332,6h
0,GO:0002691: regulation of cellular extravasation,2/37,47/28564,0.001701225,0.048716903,0.03760603,Ripor2/Abr,2,1.312320332,6h
GO:0042742,GO:0042742: defense response to bacterium,22/203,386/28564,7.10E-14,1.79E-10,1.24E-10,B2m/Rnase4/Gbp3/Lyz2/Oas1g/Slpi/Irgm2/H2-K1/Pglyrp1/Slamf9/Arg2/Nlrp6/Naip1/Lcn2/Tlr2/Fcer1g/Naip5/Lyz1/Plac8/Gbp2/Anxa3/Wfdc15b,22,9.748122162,24h
