ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,p.adjust_log,cond
GO:0031640,GO:0031640: killing of cells of another organism,4/84,59/28564,2.80E-05,0.006346486,0.005240528,Ccl21a/Ccl21b/Ltf/C3,4,2.197466663,3h
0,GO:0051897: positive regulation of protein kinase B signaling,5/84,120/28564,2.85E-05,0.006346486,0.005240528,Ccl21a/Igf1r/Igf2/Ccl21b/Igfbp5,5,2.197466663,3h
0,GO:0060491: regulation of cell projection assembly,6/84,209/28564,3.61E-05,0.006346486,0.005240528,Ccl21a/Syne2/Ccl21b/Crocc/Aqp1/Espn,6,2.197466663,3h
GO:0045840,GO:0045840: positive regulation of mitotic nuclear division,3/84,45/28564,0.000318416,0.036381481,0.030041532,Igf1r/Prap1/Igf2,3,1.439119621,3h
0,GO:0030336: negative regulation of cell migration,6/84,312/28564,0.00032196,0.036381481,0.030041532,Ccl21a/Col3a1/Ogt/Ccl21b/Cldn3/Igfbp5,6,1.439119621,3h
0,GO:0042692: muscle cell differentiation,7/84,460/28564,0.000418124,0.036669616,0.030279455,Meis1/Wfikkn2/Barx2/Hopx/Igf2/C3/Igfbp5,7,1.435693643,3h
GO:0048009,GO:0048009: insulin-like growth factor receptor signaling pathway,3/84,50/28564,0.00043518,0.036669616,0.030279455,Igf1r/Igf2/Igfbp5,3,1.435693643,3h
0,GO:0043588: skin development,6/84,331/28564,0.000440406,0.036669616,0.030279455,Txnip/Col3a1/Barx2/Col1a1/Ahdc1/Igfbp5,6,1.435693643,3h
0,GO:0048247: lymphocyte chemotaxis,3/84,53/28564,0.000516835,0.039268102,0.032425121,Ccl21a/Ccl21b/Ccl9,3,1.405960089,3h
0,GO:0006584: catecholamine metabolic process,3/84,63/28564,0.00085778,0.045766784,0.037791323,Sult1d1/Sult1a1/Moxd1,3,1.339449599,3h
0,GO:0043903: regulation of biological process involved in symbiotic interaction,3/84,67/28564,0.001026062,0.049188785,0.040616995,Tmprss2/Sftpd/Ltf,3,1.308133908,3h
GO:0031640,GO:0031640: killing of cells of another organism,7/43,59/28564,3.37E-12,4.38E-09,2.71E-09,Ccl21a/Cxcl9/Ccl8/Pglyrp1/Ccl21b/Ltf/C3,7,8.35885072,6h
0,GO:0061844: antimicrobial humoral immune response mediated by antimicrobial peptide,7/43,143/28564,1.88E-09,8.15E-07,5.05E-07,Ccl21a/Cxcl9/Ccl8/Pglyrp1/Ccl21b/Ltf/Cxcl1,7,6.089074134,6h
0,GO:1901136: carbohydrate derivative catabolic process,5/43,160/28564,4.20E-06,0.000445022,0.000275938,Chil5/Pnp/Uox/Pglyrp1/Urah,5,3.351618859,6h
0,GO:0120032: regulation of plasma membrane bounded cell projection assembly,5/43,206/28564,1.43E-05,0.000865462,0.000536633,Ccl21a/Tacstd2/Ccl21b/Arhgap35/Aqp1,5,3.062752107,6h
0,GO:0072080: nephron tubule development,4/43,105/28564,1.91E-05,0.000988374,0.000612846,Tacstd2/Gdnf/Aqp1/Gpc3,4,3.005078495,6h
