Gene name (primary),Gene names (all)
PARP1,ADPRT/PARP1/PPOL
HNRNPU,C1orf199/HNRNPU/HNRPU/SAFA/U21.1
RFC1,RFC1/RFC140
LIG3,LIG3
UHRF1,hCG_23497/ICBP90/NP95/RNF106/UHRF1
TOP2A,TOP2/TOP2A
HMGA1,HMGA1/HMGIY
YY1,INO80S/YY1
TRIP12,hCG_1811426/KIAA0045/TRIP12/ULF
TOP1,TOP1
RBMX,HNRPG/RBMX/RBMXP1
TAF15,RBP56/TAF15/TAF2N
POP1,KIAA0061/POP1
NPM1,NPM/NPM1
HNRNPA1,HNRNPA1/HNRPA1
CHD1L,ALC1/CHD1L
SUPT16H,FACT140/FACTP140/SUPT16H
HMGB2,HMG2/HMGB2
DDX5,DDX5/G17P1/HELR/HLR1
HMGN1,HMG14/HMGN1
KHDRBS1,KHDRBS1/SAM68
MITD1,MITD1
GAPDH,CDABP0047/GAPD/GAPDH/OK/SW-cl.12
ALYREF,ALY/ALYREF/BEF/THOC4
ZNF512,hCG_1784442/KIAA1805/ZNF512
NSD2,KIAA1090/MMSET/NSD2/TRX5/WHSC1
XRCC6,G22P1/XRCC6
MECP2,MECP2
XRCC1,XRCC1
NUSAP1,ANKT/BM-037/NUSAP1/PRO0310
THYN1,HSPC144/MDS012/My0054/THY28/THYN1
DEK,DEK
CBX4,CBX4
SLTM,MET/SLTM
SPTY2D1,SPTY2D1
ZNF638,NP220/ZFML/ZNF638
PRRC2A,BAT2/G2/PRRC2A
XPC,XPC/XPCC
BCLAF1,BCLAF1/BTF/KIAA0164
PRRC2C,BAT2D1/BAT2L2/KIAA1096/PRRC2C/XTP2
POLDIP3,KIAA1649/PDIP46/POLDIP3
CHD2,CHD2
RBM27,KIAA1311/RBM27
THRAP3,BCLAF2/THRAP3/TRAP150
YLPM1,C14orf170/YLPM1/ZAP3
FUS,FUS/TLS
RPL8,hCG_24000/RPL8
NFIC,NFI/NFIC
MAZ,hCG_2039830/MAZ/ZNF801
ZNF281,GZP1/ZBP99/ZNF281
RBM33,PRR8/RBM33
DTX2,DTX2/KIAA1528/RNF58
CEBPB,CEBPB/PP9092/TCF5
HNRNPD,AUF1/HNRNPD/HNRPD
P4HB,ERBA2L/P4HB/PDI/PDIA1/PO4DB
HIST1H4A,/H4/A/H4/B/H4/C/H4/D/H4/E/H4/G/H4/H/H4/I/H4/J/H4/K/H4/M/H4/N/H4/O/H4F2/H4FA/H4FB/H4FC/H4FD/H4FE/H4FG/H4FH/H4FI/H4FJ/H4FK/H4FM/H4FN/H4FO/HIST1H4A/HIST1H4B/HIST1H4C/HIST1H4D/HIST1H4E/HIST1H4F/HIST1H4H/HIST1H4I/HIST1H4J/HIST1H4K/HIST1H4L/HIST2H4/HIST2H4A/HIST2H4B/HIST4H4
PDIA3,ERP57/ERP60/GRP58/PDIA3
ASPH,ASPH/BAH/hCG_1787219
SSRP1,FACT80/SSRP1
NOLC1,KIAA0035/NOLC1/NS5ATP13
